iter	Passed	Remaining
0	4	4519
1	9	4513
2	14	4906
3	18	4714
4	23	4701
5	28	4661
6	34	4873
7	38	4787
8	43	4821
9	48	4807
10	53	4815
11	57	4739
12	62	4770
13	66	4678
14	70	4623
15	74	4589
16	79	4617
17	83	4580
18	88	4575
19	92	4550
20	97	4528
21	101	4509
22	106	4524
23	110	4489
24	114	4476
25	119	4460
26	123	4467
27	127	4435
28	133	4472
29	137	4451
30	143	4474
31	147	4454
32	151	4448
33	156	4447
34	161	4448
35	165	4441
36	170	4448
37	175	4444
38	181	4471
39	185	4451
40	190	4459
41	195	4453
42	200	4452
43	205	4474
44	211	4482
45	215	4472
46	221	4489
47	225	4469
48	230	4473
49	234	4449
50	239	4455
51	243	4442
52	248	4446
53	253	4435
54	257	4432
55	262	4418
56	266	4416
57	272	4419
58	277	4419
59	281	4408
60	286	4417
61	290	4397
62	295	4391
63	298	4372
64	303	4372
65	307	4355
66	312	4355
67	316	4339
68	321	4341
69	352	4687
70	381	4989
71	387	4996
72	403	5120
73	409	5120
74	414	5115
75	419	5100
76	423	5082
77	428	5060
78	433	5058
79	437	5034
80	442	5020
81	446	5004
82	451	4990
83	455	4967
84	460	4955
85	464	4937
86	470	4938
87	476	4933
88	481	4929
89	485	4910
90	490	4901
91	494	4880
92	498	4861
93	501	4838
94	506	4825
95	511	4812
96	514	4788
97	518	4775
98	523	4761
99	528	4753
100	533	4750
101	537	4733
102	541	4719
103	546	4706
104	551	4698
105	554	4678
106	561	4685
107	565	4672
108	570	4663
109	574	4646
110	580	4649
111	585	4642
112	589	4630
113	594	4619
114	599	4611
115	603	4598
116	608	4595
117	613	4584
118	618	4577
119	622	4567
120	627	4559
121	631	4542
122	635	4531
123	639	4519
124	645	4521
125	650	4510
126	655	4507
127	659	4494
128	664	4490
129	669	4479
130	674	4472
131	678	4462
132	684	4461
133	688	4451
134	694	4449
135	698	4439
136	703	4429
137	708	4423
138	712	4413
139	716	4399
140	721	4394
141	726	4387
142	731	4382
143	735	4369
144	739	4359
145	742	4344
146	747	4337
147	751	4325
148	757	4326
149	761	4314
150	766	4312
151	771	4302
152	776	4301
153	781	4291
154	785	4284
155	790	4275
156	794	4267
157	799	4259
158	804	4255
159	809	4248
160	814	4245
161	818	4236
162	823	4229
163	826	4211
164	830	4203
165	834	4191
166	839	4188
167	844	4182
168	848	4170
169	852	4162
170	856	4154
171	862	4150
172	867	4145
173	872	4139
174	876	4132
175	881	4127
176	884	4113
177	890	4111
178	894	4104
179	899	4099
180	904	4090
181	908	4084
182	912	4074
183	916	4065
184	920	4055
185	926	4053
186	930	4046
187	935	4040
188	939	4032
189	944	4027
190	948	4017
191	954	4014
192	958	4006
193	961	3995
194	966	3989
195	970	3980
196	975	3977
197	980	3972
198	985	3966
199	989	3958
200	995	3957
201	1000	3952
202	1005	3946
203	1009	3937
204	1013	3930
205	1018	3924
206	1023	3920
207	1027	3911
208	1032	3907
209	1037	3902
210	1041	3893
211	1045	3885
212	1049	3878
213	1053	3870
214	1059	3866
215	1063	3860
216	1069	3857
217	1074	3852
218	1078	3847
219	1083	3841
220	1088	3838
221	1092	3827
222	1096	3821
223	1101	3816
224	1106	3812
225	1110	3804
226	1116	3801
227	1121	3796
228	1127	3794
229	1131	3788
230	1137	3785
231	1141	3779
232	1146	3775
233	1151	3768
234	1155	3761
235	1159	3752
236	1163	3746
237	1167	3739
238	1172	3733
239	1176	3726
240	1182	3722
241	1186	3717
242	1192	3714
243	1196	3708
244	1202	3706
245	1207	3701
246	1213	3698
247	1217	3691
248	1223	3689
249	1227	3683
250	1232	3676
251	1237	3671
252	1241	3666
253	1246	3662
254	1251	3656
255	1256	3652
256	1261	3647
257	1266	3642
258	1272	3640
259	1277	3635
260	1282	3631
261	1286	3624
262	1292	3622
263	1297	3617
264	1303	3614
265	1307	3607
266	1311	3601
267	1316	3595
268	1321	3590
269	1325	3584
270	1330	3579
271	1334	3572
272	1339	3566
273	1344	3561
274	1349	3557
275	1353	3549
276	1357	3544
277	1361	3536
278	1367	3533
279	1371	3526
280	1376	3520
281	1380	3514
282	1386	3512
283	1391	3507
284	1395	3500
285	1400	3495
286	1404	3490
287	1409	3484
288	1414	3479
289	1419	3475
290	1423	3468
291	1427	3460
292	1432	3456
293	1437	3452
294	1442	3448
295	1448	3445
296	1452	3438
297	1457	3433
298	1462	3428
299	1467	3424
300	1472	3419
301	1478	3416
302	1483	3411
303	1487	3406
304	1492	3402
305	1497	3396
306	1502	3390
307	1507	3385
308	1510	3378
309	1515	3373
310	1519	3366
311	1524	3360
312	1528	3353
313	1532	3348
314	1536	3342
315	1541	3336
316	1546	3331
317	1552	3328
318	1556	3323
319	1561	3318
320	1566	3313
321	1572	3310
322	1577	3305
323	1583	3303
324	1587	3297
325	1592	3292
326	1597	3288
327	1602	3283
328	1607	3277
329	1613	3275
330	1617	3269
331	1623	3265
332	1627	3259
333	1632	3254
334	1636	3249
335	1642	3245
336	1646	3239
337	1652	3235
338	1657	3231
339	1663	3228
340	1668	3224
341	1673	3220
342	1678	3215
343	1684	3212
344	1688	3206
345	1692	3200
346	1697	3194
347	1702	3190
348	1707	3184
349	1712	3179
350	1716	3174
351	1721	3168
352	1725	3163
353	1730	3157
354	1734	3151
355	1739	3146
356	1743	3139
357	1748	3135
358	1752	3129
359	1756	3123
360	1762	3119
361	1767	3114
362	1771	3109
363	1778	3108
364	1782	3101
365	1788	3097
366	1793	3093
367	1799	3089
368	1803	3083
369	1808	3079
370	1814	3075
371	1819	3071
372	1823	3065
373	1828	3060
374	1832	3054
375	1838	3050
376	1843	3046
377	1848	3041
378	1852	3034
379	1856	3029
380	1861	3023
381	1866	3020
382	1871	3015
383	1877	3012
384	1881	3006
385	1887	3001
386	1891	2995
387	1897	2992
388	1901	2986
389	1905	2980
390	1910	2975
391	1914	2968
392	1918	2963
393	1923	2959
394	1928	2954
395	1934	2950
396	1940	2946
397	1945	2942
398	1949	2937
399	1955	2933
400	1960	2927
401	1965	2923
402	1969	2917
403	1974	2912
404	1978	2907
405	1983	2902
406	1987	2896
407	1993	2892
408	1998	2887
409	2003	2882
410	2007	2877
411	2013	2873
412	2017	2867
413	2022	2862
414	2026	2857
415	2031	2852
416	2036	2847
417	2041	2843
418	2046	2837
419	2051	2832
420	2055	2826
421	2059	2821
422	2063	2814
423	2068	2809
424	2071	2802
425	2075	2796
426	2080	2792
427	2085	2787
428	2090	2781
429	2096	2779
430	2100	2772
431	2105	2767
432	2110	2763
433	2115	2759
434	2120	2753
435	2124	2748
436	2128	2742
437	2134	2738
438	2139	2733
439	2143	2728
440	2147	2722
441	2152	2717
442	2157	2712
443	2162	2708
444	2166	2702
445	2171	2697
446	2176	2693
447	2182	2688
448	2186	2682
449	2192	2679
450	2196	2674
451	2202	2670
452	2206	2664
453	2211	2659
454	2215	2654
455	2222	2651
456	2226	2645
457	2232	2641
458	2236	2636
459	2242	2632
460	2246	2626
461	2251	2621
462	2255	2616
463	2261	2612
464	2266	2607
465	2271	2603
466	2275	2597
467	2281	2593
468	2285	2587
469	2291	2583
470	2295	2577
471	2300	2573
472	2304	2567
473	2308	2561
474	2312	2556
475	2317	2551
476	2321	2545
477	2326	2540
478	2331	2535
479	2335	2530
480	2339	2524
481	2344	2519
482	2349	2515
483	2354	2510
484	2359	2505
485	2363	2499
486	2367	2494
487	2372	2488
488	2378	2485
489	2382	2479
490	2388	2475
491	2393	2471
492	2398	2466
493	2403	2461
494	2408	2457
495	2413	2452
496	2418	2447
497	2423	2442
498	2428	2438
499	2433	2433
